Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,2261,1078,1799,10033,25361,948,27137,0.0,False
jmeter_view_issue,14399,794,747,1007,1108,1239,643,1560,0.0,False
jmeter_search_jql,4661,1529,1463,1846,1948,2135,1193,2627,0.0,False
jmeter_view_dashboard,4229,660,622,802,882,998,537,1220,0.0,False
jmeter_view_scrum_board,3386,824,828,969,1015,1128,619,1517,0.0,False
jmeter_view_backlog,2531,1059,1031,1475,1564,1740,693,2079,0.0,False
jmeter_create_issue:open_quick_create,1696,244,218,317,336,396,194,456,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1696,331,286,508,568,665,233,790,0.0,False
jmeter_browse_projects,3795,339,315,410,477,583,272,722,0.0,False
jmeter_view_kanban_board,2953,802,750,1018,1101,1232,653,1455,0.0,False
jmeter_edit_issue:open_editor,2111,485,452,618,704,793,397,875,0.0,False
jmeter_edit_issue:save_edit,2111,930,887,1107,1200,1306,792,1586,0.0,False
jmeter_view_project_summary,1266,646,621,760,804,865,554,985,0.0,False
jmeter_add_comment:open_comment,840,470,416,641,680,743,371,876,0.0,False
jmeter_add_comment:save_comment,840,842,809,989,1034,1133,696,1515,0.0,False
jmeter_browse_boards,414,393,382,442,459,586,334,740,0.0,False
selenium_login:open_login_page,141,162,149,187,195,247,128,1238,0.0,False
selenium_login:login_and_view_dashboard,141,1359,588,2383,2511,2616,506,30704,0.0,False
selenium_login,141,1522,750,2535,2700,2766,650,31943,0.0,False
selenium_project_summary,141,494,459,517,567,1399,372,2496,0.0,False
selenium_browse_projects_list,141,336,338,374,381,405,270,462,0.0,False
selenium_browse_boards_list,141,1084,1084,1358,1417,1457,724,2014,0.0,False
selenium_create_issue:open_quick_create,141,1024,1048,1300,1323,1372,637,1375,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,141,932,931,1213,1249,1278,596,1591,0.0,False
selenium_create_issue:fill_and_submit_issue_form,141,1533,1529,1858,1891,1924,1116,2261,0.0,False
selenium_create_issue,141,2558,2544,3139,3218,3261,1772,3411,0.0,False
selenium_edit_issue:open_edit_issue_form,141,438,422,483,584,683,379,949,0.0,False
selenium_edit_issue:save_edit_issue_form,141,493,477,528,659,706,437,753,0.0,False
selenium_edit_issue,141,2079,2075,2331,2405,2519,1467,2603,0.0,False
selenium_save_comment:open_comment_form,141,237,226,273,306,357,202,382,0.0,False
selenium_save_comment:submit_form,141,695,665,780,847,985,564,2503,0.0,False
selenium_save_comment,141,1898,1882,2213,2266,2379,1412,3474,0.0,False
selenium_search_jql,141,1310,1240,1776,1842,2419,914,2493,0.0,False
selenium_view_scrum_board_backlog,141,1332,1276,1696,1731,1853,808,2688,0.0,False
selenium_view_scrum_board,141,1153,1151,1443,1468,1492,752,2317,0.0,False
selenium_view_kanban_board,141,1225,1280,1470,1501,1557,751,1613,0.0,False
selenium_view_dashboard,141,280,270,325,371,431,226,498,0.0,False
selenium_view_issue,141,493,474,557,617,827,385,907,0.0,False
selenium_log_out,141,386,380,425,452,553,333,634,0.0,False
