Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,3658,1300,11900,20795,27927,979,29911,0.0,False
jmeter_browse_projects,3793,389,331,636,698,808,270,1016,0.0,False
jmeter_view_dashboard,4227,762,665,1154,1247,1397,539,1663,0.0,False
jmeter_create_issue:open_quick_create,1695,287,237,440,496,578,193,3489,0.0,False
jmeter_view_issue,14393,936,777,1512,1620,1807,644,6051,0.0,False
jmeter_view_kanban_board,2952,895,776,1330,1436,1588,656,5192,0.0,False
jmeter_view_scrum_board,3385,961,841,1463,1622,1877,614,5448,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1695,413,292,780,850,1022,233,3497,0.0,False
jmeter_search_jql,4659,1759,1534,2480,2643,3054,1225,7789,0.0,False
jmeter_view_backlog,2530,1233,1106,1943,2066,2251,668,8262,0.0,False
jmeter_view_project_summary,1265,720,634,1105,1190,1321,549,1691,0.0,False
jmeter_edit_issue:open_editor,2111,549,483,832,948,1113,397,2594,0.0,False
jmeter_edit_issue:save_edit,2110,1036,912,1459,1682,1876,794,2642,0.0,False
jmeter_add_comment:open_comment,839,455,435,531,588,720,372,1238,0.0,False
jmeter_add_comment:save_comment,839,1038,842,1660,1740,1945,690,2085,0.0,False
jmeter_browse_boards,414,574,556,847,885,972,337,1115,0.0,False
selenium_login:open_login_page,134,174,150,224,289,340,136,823,0.0,False
selenium_login:login_and_view_dashboard,134,1961,2037,2498,2611,2874,521,36449,0.0,False
selenium_login,134,2135,2202,2700,2777,3027,661,37274,0.0,False
selenium_project_summary,134,541,460,651,1105,1586,338,3553,0.0,False
selenium_browse_projects_list,134,347,337,404,484,570,254,657,0.0,False
selenium_browse_boards_list,134,1102,1094,1352,1392,1545,741,2242,0.0,False
selenium_create_issue:open_quick_create,134,1025,1045,1296,1317,1333,652,1367,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,134,972,966,1217,1263,1732,597,1765,0.0,False
selenium_create_issue:fill_and_submit_issue_form,134,1577,1569,1852,1927,2345,1138,2362,0.0,False
selenium_create_issue,134,2602,2568,3116,3198,3614,1864,3689,0.0,False
selenium_edit_issue:open_edit_issue_form,134,472,427,604,701,926,389,1581,0.0,False
selenium_edit_issue:save_edit_issue_form,134,514,476,582,760,1069,436,1117,0.0,False
selenium_edit_issue,134,2123,2102,2423,2519,2777,1392,2897,0.0,False
selenium_save_comment:open_comment_form,134,253,231,350,377,517,209,530,0.0,False
selenium_save_comment:submit_form,134,805,714,1147,1261,1409,630,3033,0.0,False
selenium_save_comment,134,2019,1992,2315,2574,2744,1580,3986,0.0,False
selenium_search_jql,134,1542,1399,2247,2755,3199,1004,3281,0.0,False
selenium_view_scrum_board_backlog,134,1343,1267,1723,1800,1882,808,4697,0.0,False
selenium_view_scrum_board,134,1172,1183,1414,1455,1572,765,3212,0.0,False
selenium_view_kanban_board,134,1221,1259,1455,1523,1736,775,1781,0.0,False
selenium_view_dashboard,134,313,284,415,553,700,236,818,0.0,False
selenium_view_issue,134,550,518,690,839,916,438,941,0.0,False
selenium_log_out,134,401,381,491,538,687,331,690,0.0,False
