Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,207,29990,13856,94106,110872,120241,847,122586,3.0,False
jmeter_create_issue:open_quick_create,236,5687,2584,15049,21238,38970,150,41012,8.0,False
jmeter_browse_projects,512,6926,3280,17744,23386,43139,197,46557,8.0,False
jmeter_view_dashboard,554,34780,23189,80669,90130,100630,397,116452,34.0,False
jmeter_view_scrum_board,458,14069,6547,41594,47971,59187,442,77575,13.0,False
jmeter_view_issue,1954,13702,6755,37453,50324,69142,345,80323,12.0,False
jmeter_view_kanban_board,392,15258,7330,41707,49426,62586,505,83114,12.0,False
jmeter_create_issue:fill_and_submit_issue_form,231,8279,2746,23291,32964,58921,98,60013,13.0,False
jmeter_view_backlog,335,17610,8272,51221,57989,75300,348,85122,10.0,False
jmeter_search_jql,615,25110,14508,66405,71285,85641,540,91012,17.0,False
jmeter_edit_issue:open_editor,288,10758,5505,25232,43635,52289,298,64729,8.0,False
jmeter_view_project_summary,168,12212,5416,33947,47201,56319,457,62304,11.0,False
jmeter_edit_issue:save_edit,274,16108,6545,49106,50013,63290,448,77528,13.0,False
jmeter_add_comment:open_comment,109,6666,3186,18607,20798,30098,300,34662,9.0,False
jmeter_add_comment:save_comment,108,12179,5045,39250,48763,70178,395,77858,12.0,False
jmeter_app_specific_action,263,49804,60875,74016,77059,82818,196,113085,64.0,True
jmeter_browse_boards,49,9292,3679,29956,41246,46819,252,50389,12.0,False
check_logged_in_as_default_user,69,54,51,60,63,92,49,100,100.0,True
check_logged_in_as_specific_user,24,52,51,58,58,58,49,58,100.0,True
selenium_login:open_login_page,10,1278,654,3712,4511,5150,160,5310,0.0,False
selenium_login:login_and_view_dashboard,10,27478,18992,77989,79977,81567,625,81965,20.0,False
selenium_login,10,28756,19748,82859,82864,82868,822,82869,20.0,False
selenium_project_summary,8,1030,601,2020,2394,2693,416,2768,0.0,False
selenium_browse_projects_list,8,657,358,1233,1328,1405,285,1424,0.0,False
selenium_browse_boards_list,8,2409,928,4786,8561,11581,713,12336,0.0,False
selenium_create_issue:open_quick_create,8,1271,780,2086,3178,4052,656,4271,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,8,3382,1692,7572,11523,14685,588,15475,0.0,False
selenium_create_issue:fill_and_submit_issue_form,8,3994,2275,8183,12140,15306,1187,16097,0.0,False
selenium_create_issue,8,5265,3206,10159,13703,16538,1883,17247,0.0,False
selenium_edit_issue:open_edit_issue_form,8,1491,784,3052,4374,5432,405,5696,0.0,False
selenium_edit_issue:save_edit_issue_form,8,1914,686,4064,6174,7862,457,8284,0.0,False
selenium_edit_issue,8,4410,2259,9349,10476,11377,1736,11602,0.0,False
selenium_save_comment:open_comment_form,8,2394,359,6260,9732,12510,219,13204,0.0,False
selenium_save_comment:submit_form,8,3908,1818,8443,12132,15082,664,15820,0.0,False
selenium_save_comment,8,8659,3740,18531,30509,40091,1488,42487,0.0,False
selenium_search_jql,8,11905,5478,29744,33491,36488,1264,37237,25.0,False
selenium_view_scrum_board_backlog,8,5929,1109,15575,17854,19677,795,20133,12.0,False
selenium_view_scrum_board,8,4536,1096,12877,13339,13709,786,13802,0.0,False
selenium_view_kanban_board,8,5424,1696,15861,16866,17670,751,17871,0.0,False
selenium_view_dashboard,8,1488,400,4224,4828,5310,231,5431,0.0,False
selenium_view_issue,7,1270,535,2751,3706,4470,446,4661,0.0,False
selenium_log_out,7,885,433,2093,2113,2129,336,2133,0.0,False
