Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1162,558,821,1151,17869,390,19701,0.0,False
jmeter_view_issue,14410,396,353,579,663,783,251,978,0.0,False
jmeter_view_dashboard,4232,248,229,342,391,505,134,717,0.0,False
jmeter_search_jql,4665,825,771,1081,1196,1439,531,1825,0.0,False
jmeter_view_scrum_board,3389,351,328,497,554,654,203,877,0.0,False
jmeter_view_backlog,2533,579,526,799,908,1083,367,1340,0.0,False
jmeter_create_issue:open_quick_create,1697,92,84,121,147,200,57,309,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,391,361,519,566,644,265,987,0.0,False
jmeter_view_kanban_board,2955,321,292,441,512,639,198,798,0.0,False
jmeter_browse_projects,3797,153,135,225,266,355,90,535,0.0,False
jmeter_edit_issue:open_editor,2113,216,186,348,404,510,139,655,0.0,False
jmeter_edit_issue:save_edit,2113,543,494,737,856,1158,349,1581,0.0,False
jmeter_view_project_summary,1267,230,203,346,397,494,127,758,0.0,False
jmeter_add_comment:open_comment,840,188,153,310,346,438,105,601,0.0,False
jmeter_add_comment:save_comment,840,548,514,700,765,934,374,1166,0.0,False
jmeter_browse_boards,414,175,148,260,287,356,104,387,0.0,False
selenium_login:open_login_page,161,112,106,123,138,205,94,410,0.0,False
selenium_login:login_and_view_dashboard,161,998,667,1373,1423,2068,452,23910,0.0,False
selenium_login,161,1111,782,1481,1540,2170,555,24321,0.0,False
selenium_project_summary,161,405,392,439,463,509,328,2020,0.0,False
selenium_browse_projects_list,161,308,300,350,376,429,239,525,0.0,False
selenium_browse_boards_list,161,926,953,1152,1172,1200,247,2659,0.0,False
selenium_create_issue:open_quick_create,161,865,919,1082,1106,1157,588,1179,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,161,865,836,1041,1365,1509,591,1548,0.0,False
selenium_create_issue:fill_and_submit_issue_form,161,1458,1414,1659,1982,2116,1097,2232,0.0,False
selenium_create_issue,161,2324,2308,2733,2812,3099,1691,3389,0.0,False
selenium_edit_issue:open_edit_issue_form,161,505,476,576,726,894,417,998,0.0,False
selenium_edit_issue:save_edit_issue_form,161,624,605,782,832,889,481,1141,0.0,False
selenium_edit_issue,161,1656,1623,1827,1862,2056,1454,2314,0.0,False
selenium_save_comment:open_comment_form,161,302,286,368,406,495,202,632,0.0,False
selenium_save_comment:submit_form,161,791,743,912,1013,1088,644,3113,0.0,False
selenium_save_comment,161,1946,1936,2178,2259,2416,1278,4060,0.0,False
selenium_search_jql,161,1297,1207,1715,1835,2376,943,2521,0.0,False
selenium_view_scrum_board_backlog,161,1319,1219,1757,1778,1863,792,3595,0.0,False
selenium_view_scrum_board,161,1053,1042,1218,1241,1290,763,2713,0.0,False
selenium_view_kanban_board,161,1135,1149,1358,1439,1622,737,1648,0.0,False
selenium_view_dashboard,161,250,241,309,326,351,198,377,0.0,False
selenium_view_issue,161,534,515,652,702,769,426,774,0.0,False
selenium_log_out,161,315,303,367,393,438,258,451,0.0,False
