Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,722,636,952,1078,2809,444,4190,0.0,False
jmeter_view_dashboard,4232,214,207,263,294,350,136,717,0.0,False
jmeter_view_scrum_board,3390,322,318,394,428,512,207,3033,0.0,False
jmeter_view_issue,14411,362,347,441,481,578,250,4029,0.0,False
jmeter_create_issue:open_quick_create,1697,94,87,116,138,189,57,2615,0.0,False
jmeter_search_jql,4666,795,778,919,975,1145,576,6895,0.0,False
jmeter_view_backlog,2533,519,504,621,661,789,355,6039,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,362,341,444,476,551,276,2040,0.0,False
jmeter_view_kanban_board,2956,295,277,386,424,517,198,1229,0.0,False
jmeter_browse_projects,3798,143,137,175,201,254,93,391,0.0,False
jmeter_edit_issue:open_editor,2113,199,190,247,279,348,129,566,0.0,False
jmeter_edit_issue:save_edit,2113,515,469,665,794,1213,354,2051,0.0,False
jmeter_view_project_summary,1267,202,193,251,282,341,135,457,0.0,False
jmeter_add_comment:open_comment,840,151,145,182,207,263,112,323,0.0,False
jmeter_add_comment:save_comment,840,500,484,592,628,725,382,894,0.0,False
jmeter_browse_boards,414,153,146,190,212,275,108,360,0.0,False
selenium_login:open_login_page,158,114,106,117,121,185,93,1109,0.0,False
selenium_login:login_and_view_dashboard,158,1194,1331,1431,1457,1821,499,5292,0.0,False
selenium_login,158,1308,1436,1550,1575,1928,603,6402,0.0,False
selenium_project_summary,158,409,390,421,444,481,307,3348,0.0,False
selenium_browse_projects_list,158,284,279,311,327,374,236,380,0.0,False
selenium_browse_boards_list,158,981,968,1157,1172,1201,254,3874,0.0,False
selenium_create_issue:open_quick_create,158,850,909,1087,1103,1143,597,1157,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,158,827,822,1019,1035,1051,596,1105,0.0,False
selenium_create_issue:fill_and_submit_issue_form,158,1507,1426,1630,1684,5462,1172,5620,0.0,False
selenium_create_issue,158,2358,2276,2672,2756,6535,1775,6713,0.0,False
selenium_edit_issue:open_edit_issue_form,158,501,479,533,571,887,430,1531,0.0,False
selenium_edit_issue:save_edit_issue_form,158,624,604,725,811,873,485,901,0.0,False
selenium_edit_issue,158,1663,1634,1767,1837,2041,1479,3310,0.0,False
selenium_save_comment:open_comment_form,158,303,296,358,365,429,201,439,0.0,False
selenium_save_comment:submit_form,158,791,759,872,901,1043,661,3637,0.0,False
selenium_save_comment,158,1964,1950,2111,2147,2255,1631,4674,0.0,False
selenium_search_jql,158,1435,1311,1924,2078,2224,1052,4533,0.0,False
selenium_view_scrum_board_backlog,158,1332,1238,1746,1766,1814,800,3996,0.0,False
selenium_view_scrum_board,158,1055,1045,1227,1251,1329,774,3507,0.0,False
selenium_view_kanban_board,158,1133,1140,1326,1412,1533,740,2012,0.0,False
selenium_view_dashboard,158,246,242,271,281,314,200,335,0.0,False
selenium_view_issue,158,522,518,577,595,619,424,652,0.0,False
selenium_log_out,158,321,314,367,386,421,274,482,0.0,False
