Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,639,513,702,773,3409,354,8423,0.0,False
jmeter_view_issue,14001,273,267,322,344,400,201,3447,0.0,False
jmeter_search_jql,4532,604,596,674,700,779,468,3449,0.0,False
jmeter_view_dashboard,4111,183,178,215,233,277,114,433,0.0,False
jmeter_view_backlog,2460,422,412,497,525,594,316,1570,0.0,False
jmeter_create_issue:open_quick_create,1648,97,92,114,124,181,69,933,0.0,False
jmeter_view_scrum_board,3293,251,245,307,332,384,164,2428,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1648,245,259,339,358,422,138,1775,0.0,False
jmeter_view_kanban_board,2871,230,225,284,304,368,164,853,0.0,False
jmeter_browse_projects,3690,101,98,121,132,167,75,350,0.0,False
jmeter_edit_issue:open_editor,2053,149,145,181,196,237,105,1407,0.0,False
jmeter_edit_issue:save_edit,2052,363,356,458,511,725,179,1273,0.0,False
jmeter_view_project_summary,1231,166,162,202,217,265,114,549,0.0,False
jmeter_add_comment:open_comment,816,117,114,144,158,203,80,430,0.0,False
jmeter_add_comment:save_comment,816,357,362,447,471,529,250,686,0.0,False
jmeter_app_specific_action,1213,220,217,240,251,297,192,779,0.0,True
jmeter_browse_boards,402,119,115,143,162,204,90,305,0.0,False
selenium_login:open_login_page,171,109,102,113,119,255,92,560,0.0,False
selenium_login:login_and_view_dashboard,171,637,612,656,684,1327,455,1373,0.0,False
selenium_login,171,747,716,762,790,1453,582,1653,0.0,False
selenium_project_summary,171,413,403,476,486,519,349,541,0.0,False
selenium_browse_projects_list,171,329,330,361,370,412,261,421,0.0,False
selenium_browse_boards_list,171,621,748,1103,1178,1216,242,1235,0.0,False
selenium_create_issue:open_quick_create,171,803,838,1054,1085,1163,591,1177,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,171,835,836,1038,1059,1076,595,1082,0.0,False
selenium_create_issue:fill_and_submit_issue_form,171,1416,1419,1587,1644,1688,1149,1764,0.0,False
selenium_create_issue,171,2220,2213,2622,2700,2775,1772,2806,0.0,False
selenium_edit_issue:open_edit_issue_form,171,465,463,493,508,541,417,553,0.0,False
selenium_edit_issue:save_edit_issue_form,171,599,585,689,758,819,477,838,0.0,False
selenium_edit_issue,171,1609,1590,1701,1754,1937,1438,2102,0.0,False
selenium_save_comment:open_comment_form,171,302,293,354,362,386,195,399,0.0,False
selenium_save_comment:submit_form,171,645,639,736,778,814,512,844,0.0,False
selenium_save_comment,171,1829,1843,2047,2082,2153,1173,2179,0.0,False
selenium_search_jql,171,1237,1187,1637,1756,1876,955,1987,0.0,False
selenium_view_scrum_board_backlog,171,1280,1208,1703,1714,1751,780,1767,0.0,False
selenium_view_scrum_board,171,1044,1052,1240,1254,1285,769,1303,0.0,False
selenium_view_kanban_board,171,1135,1135,1323,1400,1501,723,1966,0.0,False
selenium_view_dashboard,171,221,216,245,265,308,192,316,0.0,False
selenium_view_issue,171,484,485,519,532,553,405,575,0.0,False
selenium_log_out,171,319,313,350,363,390,283,433,0.0,False
