Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1255,1182,1358,1423,2264,1014,7257,0.0,False
jmeter_view_issue,14127,772,766,830,852,898,678,1833,0.0,False
jmeter_search_jql,4572,1449,1439,1551,1586,1671,1236,4622,0.0,False
jmeter_view_dashboard,4148,635,623,709,735,776,546,927,0.0,False
jmeter_view_scrum_board,3322,806,813,945,967,1016,638,2277,0.0,False
jmeter_view_backlog,2483,1027,1055,1249,1283,1350,704,4469,0.0,False
jmeter_create_issue:open_quick_create,1664,251,230,326,334,355,211,1476,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1663,445,423,534,559,635,361,1738,0.0,False
jmeter_view_kanban_board,2897,774,761,850,882,936,684,1203,0.0,False
jmeter_browse_projects,3723,324,312,371,380,413,280,502,0.0,False
jmeter_edit_issue:open_editor,2071,481,474,528,545,581,421,813,0.0,False
jmeter_view_project_summary,1242,642,633,691,714,755,578,947,0.0,False
jmeter_edit_issue:save_edit,2070,996,959,1104,1208,1525,733,2114,0.0,False
jmeter_add_comment:open_comment,824,434,422,482,491,532,387,586,0.0,False
jmeter_add_comment:save_comment,824,910,905,977,1004,1056,803,1224,0.0,False
jmeter_app_specific_action,815,4455,4237,4622,4785,5182,217,59715,2.0,True
jmeter_browse_boards,406,406,391,462,486,536,348,548,0.0,False
selenium_login:open_login_page,140,173,140,188,191,201,131,3478,0.0,False
selenium_login:login_and_view_dashboard,140,1229,604,2443,2504,2597,502,3770,0.0,False
selenium_login,140,1402,760,2594,2646,2739,639,7249,0.0,False
selenium_project_summary,140,514,459,521,570,1544,336,3944,0.0,False
selenium_browse_projects_list,140,340,336,376,413,433,268,666,0.0,False
selenium_browse_boards_list,140,1082,1092,1338,1375,1444,724,2764,0.0,False
selenium_create_issue:open_quick_create,140,1024,1048,1296,1330,1353,655,1361,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,140,935,938,1216,1242,1298,593,1485,0.0,False
selenium_create_issue:fill_and_submit_issue_form,140,1511,1507,1793,1852,1917,1068,2081,0.0,False
selenium_create_issue,140,2536,2554,3116,3137,3236,1782,3277,0.0,False
selenium_edit_issue:open_edit_issue_form,140,443,426,485,502,557,391,1349,0.0,False
selenium_edit_issue:save_edit_issue_form,140,484,476,518,545,580,435,605,0.0,False
selenium_edit_issue,140,2073,2032,2323,2387,2489,1687,2749,0.0,False
selenium_save_comment:open_comment_form,140,238,226,264,293,380,208,408,0.0,False
selenium_save_comment:submit_form,140,802,778,858,882,951,668,3076,0.0,False
selenium_save_comment,140,2001,1974,2293,2350,2568,1502,3962,0.0,False
selenium_search_jql,140,1561,1490,2051,2193,2508,1141,4186,0.0,False
selenium_view_scrum_board_backlog,140,1355,1258,1693,1725,1803,805,2756,0.0,False
selenium_view_scrum_board,140,1153,1150,1410,1440,1511,754,3123,0.0,False
selenium_view_kanban_board,140,1236,1260,1464,1494,1528,785,1541,0.0,False
selenium_view_dashboard,140,273,268,303,321,342,236,430,0.0,False
selenium_view_issue,140,500,493,564,581,621,427,640,0.0,False
selenium_log_out,140,394,387,443,456,500,341,501,0.0,False
