Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,85,1136,1127,1225,1254,1297,1001,1326,0.0,False
jmeter_view_issue,102,765,755,822,829,852,701,912,0.0,False
jmeter_view_dashboard,27,629,626,658,674,707,591,718,0.0,False
jmeter_search_jql,34,1462,1445,1574,1608,1758,1349,1807,0.0,False
jmeter_view_scrum_board,23,789,756,910,926,955,655,963,0.0,False
jmeter_view_backlog,14,1032,1035,1225,1240,1261,803,1266,0.0,False
jmeter_create_issue:open_quick_create,12,238,224,292,300,303,207,304,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,12,334,308,342,454,563,277,590,0.0,False
jmeter_view_kanban_board,16,776,736,917,991,1014,701,1020,0.0,False
jmeter_browse_projects,21,318,311,347,347,375,289,382,0.0,False
jmeter_edit_issue:open_editor,14,467,462,500,511,518,438,520,0.0,False
jmeter_edit_issue:save_edit,13,999,944,1084,1201,1336,894,1370,0.0,False
jmeter_view_project_summary,7,623,610,660,687,709,589,715,0.0,False
jmeter_app_specific_action,8,235,232,244,253,260,225,262,100.0,True
jmeter_add_comment:open_comment,3,414,410,430,432,434,398,435,0.0,False
jmeter_add_comment:save_comment,3,854,847,870,873,875,840,876,0.0,False
selenium_login:open_login_page,5,367,142,816,1035,1209,138,1253,0.0,False
selenium_login:login_and_view_dashboard,5,2492,1885,3703,4276,4734,1859,4848,0.0,False
selenium_login,5,2860,2047,4511,5307,5944,2001,6103,0.0,False
selenium_project_summary,5,831,480,1640,2013,2311,315,2386,0.0,False
selenium_browse_projects_list,5,327,339,345,345,345,287,345,0.0,False
selenium_browse_boards_list,5,1049,754,1640,1923,2149,744,2205,0.0,False
selenium_create_issue:open_quick_create,5,767,658,986,1063,1125,630,1140,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,4,604,606,611,612,612,594,612,0.0,False
selenium_create_issue:fill_and_submit_issue_form,4,1155,1139,1247,1270,1288,1049,1293,0.0,False
selenium_create_issue,4,1956,1924,2118,2153,2182,1790,2189,0.0,False
selenium_edit_issue:open_edit_issue_form,4,606,439,920,1021,1103,421,1123,0.0,False
selenium_edit_issue:save_edit_issue_form,4,506,497,534,540,545,483,546,0.0,False
selenium_edit_issue,4,1962,1850,2254,2331,2393,1736,2409,0.0,False
selenium_save_comment:open_comment_form,4,248,228,297,311,321,210,324,0.0,False
selenium_save_comment:submit_form,4,1124,625,2039,2340,2581,604,2641,0.0,False
selenium_save_comment,4,1978,1468,2934,3247,3497,1415,3560,0.0,False
selenium_search_jql,4,1794,1448,2502,2721,2895,1343,2939,0.0,False
selenium_view_scrum_board_backlog,4,1448,1014,2452,2724,2942,768,2996,0.0,False
selenium_view_scrum_board,4,1219,771,2038,2307,2523,757,2577,0.0,False
selenium_view_kanban_board,4,824,800,910,924,936,758,939,0.0,False
selenium_view_dashboard,4,260,252,295,301,306,227,307,0.0,False
selenium_view_issue,4,496,490,516,520,523,478,524,0.0,False
selenium_log_out,4,385,392,397,398,398,358,398,0.0,False
