Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,119,106,159,207,240,74,293,0.0,False
jmeter_view_page:open_page,5609,279,262,382,435,564,129,1227,0.0,False
jmeter_view_blog,2079,430,398,592,723,990,173,1503,0.0,False
jmeter_view_dashboard,1432,568,542,697,754,943,331,1345,0.0,False
jmeter_create_and_edit_page:create_page_editor,1278,112,100,154,190,278,65,347,0.0,False
jmeter_create_and_edit_page:create_page,1278,270,254,352,393,469,158,633,0.0,False
jmeter_create_and_edit_page:open_editor,1278,17,15,22,27,46,10,192,0.0,False
jmeter_create_and_edit_page:edit_page,1278,284,266,357,408,499,184,683,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1278,265,245,347,396,477,181,628,0.0,False
jmeter_search_cql:recently_viewed,1589,22,19,31,39,106,7,225,0.0,False
jmeter_search_cql:search_results,1588,502,479,613,682,844,249,1531,0.0,False
jmeter_create_blog:blog_editor,637,133,122,180,210,285,76,412,0.0,False
jmeter_create_blog:feel_and_publish,637,251,233,329,366,444,151,530,0.0,False
jmeter_comment_page,1102,50,44,71,84,154,24,246,0.0,False
jmeter_view_attachment,785,175,160,245,290,382,90,573,0.0,False
jmeter_like_page,467,25,22,34,41,87,12,189,0.0,False
jmeter_upload_attachment,934,519,462,855,979,1156,214,1601,0.0,False
selenium_login:open_login_page,148,93,84,97,105,198,71,1058,0.0,False
selenium_login:login_and_view_dashboard,148,184,170,212,243,283,140,1263,0.0,False
selenium_view_blog,148,574,522,787,1049,1268,328,1341,0.0,False
selenium_view_dashboard,148,153,142,191,230,288,116,319,0.0,False
selenium_view_page,148,379,359,555,588,658,223,822,0.0,False
selenium_view_page_from_cache,148,311,300,404,431,527,167,598,0.0,False
selenium_create_page:open_create_page_editor,148,333,318,386,444,556,246,854,0.0,False
selenium_create_page:save_created_page,148,190,181,225,240,265,153,308,0.0,False
selenium_edit_page_by_url:open_create_page_editor,148,333,302,451,534,684,221,940,0.0,False
selenium_edit_page_by_url:save_edited_page,148,341,328,452,475,527,230,602,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,148,296,272,383,417,461,198,580,0.0,False
selenium_quick_edit_page_click:save_edited_page,148,308,290,419,465,518,200,546,0.0,False
selenium_create_comment:write_comment,148,854,872,1016,1063,1356,585,1533,0.0,False
selenium_create_comment:save_comment,148,575,574,579,581,585,569,586,0.0,False
selenium_create_comment,148,1884,1886,2101,2237,2395,1564,2583,0.0,False
selenium_log_out,148,140,134,160,176,211,118,260,0.0,False
