Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,201,51313,62601,101357,113012,158692,875,160710,0.0,False
jmeter_browse_projects,186,6251,3766,16124,18969,26666,284,28083,1.0,False
jmeter_view_dashboard,180,45732,47652,75771,91371,101077,607,101223,12.0,False
jmeter_create_issue:open_quick_create,90,4821,2676,12926,17381,29272,212,30430,1.0,False
jmeter_view_scrum_board,176,12732,7908,32468,36610,38498,653,39652,1.0,False
jmeter_view_kanban_board,140,13085,9452,34343,36098,37587,686,43490,0.0,False
jmeter_view_issue,747,11803,8109,29961,35335,39235,698,41803,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,90,4782,2562,12963,15739,19473,306,19757,1.0,False
jmeter_view_backlog,122,13585,9184,32420,38531,47207,884,52892,2.0,False
jmeter_search_jql,241,20944,20831,48412,51903,62073,1349,70375,0.0,False
jmeter_edit_issue:open_editor,106,8191,5048,20501,22192,35700,495,36589,0.0,False
jmeter_view_project_summary,63,11192,6634,28278,31214,36780,633,41189,0.0,False
jmeter_edit_issue:save_edit,104,12772,9072,28474,34667,38619,1101,45468,0.0,False
jmeter_add_comment:open_comment,35,8784,5222,20740,20787,20929,501,20962,3.0,False
jmeter_add_comment:save_comment,35,11946,7009,31266,31368,32054,1171,32371,3.0,False
jmeter_app_specific_action,74,35841,38156,60586,62264,66478,10936,72436,3.0,True
jmeter_browse_boards,15,8185,4093,20240,22797,27333,665,28467,0.0,False
check_logged_in_as_specific_user,1,1122,1122,1122,1122,1122,1122,1122,100.0,True
selenium_login:open_login_page,6,558,480,1045,1135,1207,144,1225,0.0,False
selenium_login:login_and_view_dashboard,6,28289,32925,37986,38885,39604,2078,39784,0.0,False
selenium_login,6,28849,33936,38147,39045,39763,2223,39943,0.0,False
selenium_project_summary,5,1490,2064,2264,2322,2369,348,2381,0.0,False
selenium_browse_projects_list,5,1731,374,4264,5185,5922,333,6106,0.0,False
selenium_browse_boards_list,5,1740,2181,2504,2610,2695,770,2716,0.0,False
selenium_create_issue:open_quick_create,5,1583,1099,2825,3043,3217,658,3261,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,5,1527,1127,2557,2863,3107,586,3168,0.0,False
selenium_create_issue:fill_and_submit_issue_form,5,2104,1778,3173,3482,3729,947,3791,0.0,False
selenium_create_issue,5,3688,2487,5999,6526,6948,2046,7053,0.0,False
selenium_edit_issue:open_edit_issue_form,5,1548,1065,2761,2856,2932,625,2951,0.0,False
selenium_edit_issue:save_edit_issue_form,5,2987,900,6425,6575,6695,589,6725,0.0,False
selenium_edit_issue,5,5721,2743,11116,11596,11980,1972,12076,0.0,False
selenium_save_comment:open_comment_form,5,572,385,1059,1223,1354,247,1387,0.0,False
selenium_save_comment:submit_form,5,1927,1997,2429,2455,2475,1297,2480,0.0,False
selenium_save_comment,5,3432,3342,4440,4739,4978,2392,5038,0.0,False
selenium_search_jql,5,7751,2830,16578,19227,21346,2595,21876,0.0,False
selenium_view_scrum_board_backlog,5,2325,1524,4160,4725,5178,849,5291,0.0,False
selenium_view_scrum_board,5,6221,2750,13659,14224,14675,794,14788,0.0,False
selenium_view_kanban_board,5,3917,2063,8494,10085,11358,776,11676,0.0,False
selenium_view_dashboard,5,2940,662,7777,9921,11636,292,12065,0.0,False
selenium_view_issue,5,3752,860,9273,11030,12436,532,12788,0.0,False
selenium_log_out,5,1746,832,3706,4114,4441,353,4523,0.0,False
