Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,204,50852,61665,93250,99991,112881,1004,115321,0.0,False
jmeter_view_issue,1061,8252,4558,21895,25936,41156,346,44902,8.0,False
jmeter_view_dashboard,282,26612,25521,54715,63146,69203,413,73928,10.0,False
jmeter_search_jql,330,13610,8516,33534,43156,51470,571,55184,12.0,False
jmeter_view_scrum_board,246,8637,4737,23416,26863,44950,462,46977,8.0,False
jmeter_view_backlog,176,11408,6374,26931,43032,49533,354,50649,11.0,False
jmeter_create_issue:open_quick_create,128,3895,1951,12090,15014,20292,152,21476,4.0,False
jmeter_create_issue:fill_and_submit_issue_form,126,4758,2104,11876,20489,34245,104,34290,6.0,False
jmeter_view_kanban_board,209,9157,5514,23718,31819,38932,547,40156,7.000000000000001,False
jmeter_browse_projects,268,4588,2385,12723,16666,22651,197,29013,6.0,False
jmeter_edit_issue:open_editor,152,5849,3291,14836,21459,22923,317,23157,5.0,False
jmeter_edit_issue:save_edit,146,7350,3782,11172,40190,47614,490,50219,13.0,False
jmeter_view_project_summary,89,7707,3130,21675,24787,36813,507,37704,9.0,False
jmeter_app_specific_action,115,39591,41384,68275,69528,72372,204,72973,55.00000000000001,True
jmeter_add_comment:open_comment,54,3698,2334,7769,12741,16181,301,17588,6.0,False
jmeter_add_comment:save_comment,54,8654,4175,16888,31660,43247,405,46228,13.0,False
jmeter_browse_boards,23,7283,4895,16019,16486,17716,435,18056,17.0,False
check_logged_in_as_specific_user,18,1462,60,7342,7981,8010,49,8017,100.0,True
check_logged_in_as_default_user,21,55,53,60,61,69,49,71,100.0,True
selenium_login:open_login_page,10,2228,176,2666,11204,18034,132,19742,0.0,False
selenium_login:login_and_view_dashboard,10,17871,9613,49410,61220,70669,547,73031,0.0,False
selenium_login,10,20100,10082,51962,72368,88693,686,92774,0.0,False
selenium_project_summary,10,1406,660,2993,4403,5531,357,5813,0.0,False
selenium_browse_projects_list,10,759,544,1524,1821,2059,326,2118,0.0,False
selenium_browse_boards_list,10,1108,894,1600,2097,2495,716,2595,0.0,False
selenium_create_issue:open_quick_create,10,1228,1002,2334,2423,2494,632,2512,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,10,1226,1381,1706,1935,2118,592,2164,0.0,False
selenium_create_issue:fill_and_submit_issue_form,10,1793,1923,2266,2462,2618,1062,2657,0.0,False
selenium_create_issue,10,3021,2972,4602,4886,5113,1695,5170,0.0,False
selenium_edit_issue:open_edit_issue_form,10,819,672,1124,1784,2313,400,2445,0.0,False
selenium_edit_issue:save_edit_issue_form,10,1459,587,1916,5312,8030,456,8709,0.0,False
selenium_edit_issue,10,3010,2162,4069,7131,9581,1623,10194,0.0,False
selenium_save_comment:open_comment_form,10,878,272,2383,3218,3885,216,4052,0.0,False
selenium_save_comment:submit_form,10,1797,1128,4208,5205,6002,598,6201,0.0,False
selenium_save_comment,10,3359,2136,8758,9215,9580,1415,9671,0.0,False
selenium_search_jql,10,4342,2142,5653,14211,21058,1392,22770,0.0,False
selenium_view_scrum_board_backlog,9,1285,1168,1692,1764,1822,785,1836,0.0,False
selenium_view_scrum_board,9,2373,812,4051,9170,13265,745,14289,0.0,False
selenium_view_kanban_board,9,2237,970,5032,7253,9030,752,9474,0.0,False
selenium_view_dashboard,9,566,280,1502,1613,1703,223,1725,0.0,False
selenium_view_issue,9,1839,488,4013,7465,10227,428,10917,0.0,False
selenium_log_out,9,1124,378,2563,4160,5438,329,5757,0.0,False
