Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,44,1694,958,1205,2287,16131,906,16541,0.0,False
jmeter_view_issue,32,709,691,720,733,1092,664,1252,0.0,False
jmeter_search_jql,11,1244,1232,1277,1335,1381,1188,1393,0.0,False
jmeter_view_dashboard,9,577,569,596,605,612,560,614,0.0,False
jmeter_view_scrum_board,8,726,704,844,851,857,633,858,0.0,False
jmeter_view_backlog,4,943,936,1104,1108,1111,787,1112,0.0,False
jmeter_create_issue:open_quick_create,4,228,231,245,247,248,203,248,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,4,306,278,380,402,420,246,424,0.0,False
jmeter_view_kanban_board,5,733,693,839,887,925,671,935,0.0,False
jmeter_browse_projects,6,291,290,304,304,305,275,305,0.0,False
jmeter_edit_issue:open_editor,4,455,434,517,531,542,408,545,0.0,False
jmeter_edit_issue:save_edit,4,754,743,798,808,816,710,818,100.0,False
jmeter_view_project_summary,2,606,606,632,636,638,573,639,0.0,False
selenium_login:open_login_page,2,440,440,680,710,734,139,740,0.0,False
selenium_login:login_and_view_dashboard,2,10798,10798,17947,18840,19555,1862,19734,0.0,False
selenium_login,2,11238,11238,18627,19550,20289,2002,20474,0.0,False
selenium_project_summary,2,747,747,941,965,984,505,989,0.0,False
selenium_browse_projects_list,2,346,346,382,386,390,301,391,0.0,False
selenium_browse_boards_list,2,888,888,938,944,949,827,950,0.0,False
selenium_create_issue:open_quick_create,2,633,633,643,644,645,621,645,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,2,597,597,600,601,601,593,601,0.0,False
selenium_create_issue:fill_and_submit_issue_form,2,1526,1526,1733,1759,1780,1267,1785,0.0,False
selenium_create_issue,2,2160,2160,2358,2382,2402,1913,2407,0.0,False
selenium_edit_issue:open_edit_issue_form,2,462,462,493,497,500,423,501,0.0,False
selenium_edit_issue:save_edit_issue_form,2,508,508,514,514,515,500,515,0.0,False
selenium_edit_issue,2,1738,1738,1775,1779,1783,1691,1784,0.0,False
selenium_save_comment:open_comment_form,2,518,518,750,779,802,229,808,0.0,False
selenium_save_comment:submit_form,1,807,807,807,807,807,807,807,0.0,False
selenium_save_comment,1,1645,1645,1645,1645,1645,1645,1645,0.0,False
selenium_search_jql,1,2136,2136,2136,2136,2136,2136,2136,0.0,False
selenium_view_scrum_board_backlog,1,1042,1042,1042,1042,1042,1042,1042,0.0,False
selenium_view_scrum_board,1,910,910,910,910,910,910,910,0.0,False
selenium_view_kanban_board,1,872,872,872,872,872,872,872,0.0,False
selenium_view_dashboard,1,294,294,294,294,294,294,294,0.0,False
selenium_view_issue,1,477,477,477,477,477,477,477,0.0,False
selenium_log_out,1,436,436,436,436,436,436,436,0.0,False
