Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,71,2019,1003,5684,6476,7651,921,7919,0.0,False
jmeter_view_issue,79,1878,903,4075,5554,8669,658,8692,0.0,False
jmeter_search_jql,27,2972,1486,6656,7879,8965,1190,9235,0.0,False
jmeter_view_dashboard,21,1573,779,3252,4082,4088,543,4090,0.0,False
jmeter_view_scrum_board,18,1701,841,4110,4515,4575,616,4590,0.0,False
jmeter_view_backlog,11,2441,1175,5126,5825,6384,805,6524,0.0,False
jmeter_create_issue:open_quick_create,10,563,276,1184,1216,1241,199,1247,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,10,1143,318,3310,3850,4282,249,4390,0.0,False
jmeter_view_kanban_board,12,1940,1116,4003,4381,4695,656,4773,0.0,False
jmeter_browse_projects,15,1240,623,3081,3432,3582,280,3620,0.0,False
jmeter_edit_issue:open_editor,9,1842,2213,3182,3727,4163,417,4272,0.0,False
jmeter_edit_issue:save_edit,9,1769,1113,3996,4143,4261,729,4291,100.0,False
jmeter_view_project_summary,5,2203,1051,4675,5251,5712,584,5827,0.0,False
jmeter_add_comment:open_comment,2,615,615,785,806,823,403,827,0.0,False
jmeter_add_comment:save_comment,2,2485,2485,3880,4055,4194,741,4229,0.0,False
jmeter_app_specific_action,4,12008,12357,13019,13071,13112,10197,13122,0.0,True
selenium_login:open_login_page,5,317,185,597,662,715,132,728,0.0,False
selenium_login:login_and_view_dashboard,5,623,557,796,873,934,511,949,0.0,False
selenium_login,5,941,708,1390,1534,1649,665,1678,0.0,False
selenium_project_summary,5,596,477,879,1012,1118,411,1145,0.0,False
selenium_browse_projects_list,5,374,339,462,495,521,303,528,0.0,False
selenium_browse_boards_list,4,821,772,950,982,1008,726,1014,0.0,False
selenium_create_issue:open_quick_create,4,678,690,701,702,702,632,702,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,4,603,598,613,616,618,597,619,0.0,False
selenium_create_issue:fill_and_submit_issue_form,4,1302,1280,1348,1363,1374,1269,1377,0.0,False
selenium_create_issue,4,1981,1971,2050,2065,2077,1901,2080,0.0,False
selenium_edit_issue:open_edit_issue_form,4,1186,480,2554,2983,3326,372,3412,0.0,False
selenium_edit_issue:save_edit_issue_form,4,558,504,680,716,744,470,751,0.0,False
selenium_edit_issue,4,2400,1742,3697,4103,4428,1609,4509,0.0,False
selenium_save_comment:open_comment_form,4,262,254,294,299,303,235,304,0.0,False
selenium_save_comment:submit_form,4,1016,752,1628,1793,1925,600,1958,0.0,False
selenium_save_comment,4,1890,1614,2531,2708,2850,1448,2886,0.0,False
selenium_search_jql,4,3424,1500,7099,8279,9223,1239,9459,0.0,False
selenium_view_scrum_board_backlog,4,1715,1148,3030,3370,3642,853,3710,0.0,False
selenium_view_scrum_board,4,858,865,942,944,946,757,946,0.0,False
selenium_view_kanban_board,4,900,867,1037,1073,1102,759,1109,0.0,False
selenium_view_dashboard,4,284,276,328,335,341,242,342,0.0,False
selenium_view_issue,4,480,456,527,541,553,450,556,0.0,False
selenium_log_out,4,396,392,422,426,430,370,431,0.0,False
