Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,10,1072,1062,1080,1137,1183,1036,1195,0.0,False
jmeter_view_issue,3,709,720,721,721,721,686,721,0.0,False
jmeter_search_jql,1,1379,1379,1379,1379,1379,1379,1379,0.0,False
jmeter_view_dashboard,2,628,628,628,628,628,627,628,0.0,False
jmeter_view_scrum_board,1,648,648,648,648,648,648,648,0.0,False
jmeter_view_backlog,1,1106,1106,1106,1106,1106,1106,1106,0.0,False
jmeter_create_issue:open_quick_create,1,211,211,211,211,211,211,211,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1,302,302,302,302,302,302,302,0.0,False
selenium_login:open_login_page,19,0,0,0,0,0,0,0,100.0,False
selenium_login,19,0,0,0,0,0,0,0,100.0,False
