Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,274,159,False
jmeter_view_dashboard,716,697,False
jmeter_view_blog,790,592,False
jmeter_view_page:open_page,471,382,False
jmeter_create_and_edit_page:create_page_editor,169,154,False
jmeter_create_and_edit_page:create_page,395,352,False
jmeter_create_and_edit_page:open_editor,23,22,False
jmeter_create_and_edit_page:edit_page,381,357,False
jmeter_create_and_edit_page:quick_edit_page,384,347,False
jmeter_search_cql:recently_viewed,29,31,False
jmeter_search_cql:search_results,646,613,False
jmeter_create_blog:blog_editor,188,180,False
jmeter_create_blog:feel_and_publish,368,329,False
jmeter_comment_page,73,71,False
jmeter_view_attachment,266,245,False
jmeter_like_page,47,34,False
jmeter_upload_attachment,764,855,False
selenium_login:open_login_page,108,97,False
selenium_login:login_and_view_dashboard,232,212,False
selenium_view_blog,946,787,False
selenium_view_dashboard,210,191,False
selenium_view_page,584,555,False
selenium_view_page_from_cache,419,404,False
selenium_create_page:open_create_page_editor,402,386,False
selenium_create_page:save_created_page,258,225,False
selenium_edit_page_by_url:open_create_page_editor,512,451,False
selenium_edit_page_by_url:save_edited_page,472,452,False
selenium_quick_edit_page_click:open_create_page_editor,386,383,False
selenium_quick_edit_page_click:save_edited_page,407,419,False
selenium_create_comment:write_comment,1025,1016,False
selenium_create_comment:save_comment,582,579,False
selenium_create_comment,2082,2101,False
selenium_log_out,180,160,False
