Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,593,512,644,690,2446,386,6464,0.0,False
jmeter_view_issue,14001,274,271,319,338,389,197,3030,0.0,False
jmeter_search_jql,4533,608,602,675,707,775,460,1652,0.0,False
jmeter_view_dashboard,4111,183,179,214,228,283,113,429,0.0,False
jmeter_view_scrum_board,3293,252,249,307,325,384,162,684,0.0,False
jmeter_create_issue:open_quick_create,1649,80,78,93,100,155,54,1631,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1648,241,266,319,331,387,133,1611,0.0,False
jmeter_view_kanban_board,2871,227,220,283,309,357,159,617,0.0,False
jmeter_view_backlog,2460,432,426,494,518,587,320,5696,0.0,False
jmeter_browse_projects,3690,103,102,121,128,157,75,224,0.0,False
jmeter_edit_issue:open_editor,2053,148,146,175,185,226,103,355,0.0,False
jmeter_edit_issue:save_edit,2053,367,361,459,513,767,203,1150,0.0,False
jmeter_view_project_summary,1231,160,157,186,200,257,110,307,0.0,False
jmeter_add_comment:open_comment,816,118,115,138,149,212,81,267,0.0,False
jmeter_add_comment:save_comment,816,353,365,429,444,489,246,553,0.0,False
jmeter_app_specific_action,1213,221,218,237,246,302,189,595,0.0,True
jmeter_browse_boards,402,122,120,144,156,204,88,222,0.0,False
selenium_login:open_login_page,171,109,103,113,120,227,94,532,0.0,False
selenium_login:login_and_view_dashboard,171,656,608,674,1288,1431,530,1484,0.0,False
selenium_login,171,766,715,792,1419,1551,651,1589,0.0,False
selenium_project_summary,171,411,397,457,476,527,334,1311,0.0,False
selenium_browse_projects_list,171,331,335,354,365,393,262,405,0.0,False
selenium_browse_boards_list,171,610,762,1106,1142,1207,238,1216,0.0,False
selenium_create_issue:open_quick_create,171,840,897,1063,1096,1171,596,1199,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,171,834,829,1027,1056,1068,597,1068,0.0,False
selenium_create_issue:fill_and_submit_issue_form,171,1434,1439,1605,1654,1724,1138,1758,0.0,False
selenium_create_issue,171,2274,2267,2646,2732,2857,1754,2900,0.0,False
selenium_edit_issue:open_edit_issue_form,171,470,464,497,516,562,415,800,0.0,False
selenium_edit_issue:save_edit_issue_form,171,604,594,748,776,796,469,838,0.0,False
selenium_edit_issue,171,1619,1601,1748,1791,1880,1431,2461,0.0,False
selenium_save_comment:open_comment_form,171,298,287,354,360,390,194,454,0.0,False
selenium_save_comment:submit_form,171,657,656,730,750,816,514,1066,0.0,False
selenium_save_comment,171,1837,1827,2039,2074,2114,1281,2143,0.0,False
selenium_search_jql,171,1227,1158,1632,1768,1931,956,2713,0.0,False
selenium_view_scrum_board_backlog,171,1295,1216,1717,1742,1769,776,1797,0.0,False
selenium_view_scrum_board,171,1039,1042,1227,1264,1289,771,1295,0.0,False
selenium_view_kanban_board,171,1134,1154,1343,1401,1500,748,1534,0.0,False
selenium_view_dashboard,171,223,219,245,255,298,195,333,0.0,False
selenium_view_issue,171,491,488,538,548,568,417,592,0.0,False
selenium_log_out,171,310,304,343,352,375,276,408,0.0,False
