Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1329,1181,1352,1480,5977,1022,10264,0.0,False
jmeter_view_issue,14119,775,768,838,864,923,681,2512,0.0,False
jmeter_search_jql,4571,1438,1426,1531,1571,1655,1257,4184,0.0,False
jmeter_view_dashboard,4146,628,613,696,726,768,545,902,0.0,False
jmeter_view_scrum_board,3321,805,815,944,966,1017,633,1765,0.0,False
jmeter_view_backlog,2482,1034,1071,1261,1296,1357,694,4411,0.0,False
jmeter_create_issue:open_quick_create,1663,265,242,339,349,387,222,1547,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1663,447,420,528,564,732,367,1806,0.0,False
jmeter_view_kanban_board,2895,777,766,850,886,937,694,1199,0.0,False
jmeter_browse_projects,3721,324,310,370,378,422,282,519,0.0,False
jmeter_view_project_summary,1241,656,645,716,740,808,582,1261,0.0,False
jmeter_edit_issue:open_editor,2070,483,473,532,551,587,423,976,0.0,False
jmeter_edit_issue:save_edit,2070,1009,963,1155,1285,1642,738,2217,0.0,False
jmeter_add_comment:open_comment,823,438,423,484,497,535,393,1054,0.0,False
jmeter_add_comment:save_comment,823,918,908,994,1022,1115,796,1527,0.0,False
jmeter_app_specific_action,814,4901,4154,4803,5037,36935,221,60108,1.0,True
jmeter_browse_boards,406,415,414,486,500,561,347,667,0.0,False
selenium_login:open_login_page,145,166,140,174,185,270,132,3129,0.0,False
selenium_login:login_and_view_dashboard,145,900,558,2161,2336,2554,472,7270,0.0,False
selenium_login,145,1067,703,2305,2482,2689,631,10400,0.0,False
selenium_project_summary,145,497,463,518,610,1230,332,3575,0.0,False
selenium_browse_projects_list,145,321,317,365,381,402,265,407,0.0,False
selenium_browse_boards_list,145,1072,1054,1356,1379,1479,725,3100,0.0,False
selenium_create_issue:open_quick_create,145,1015,1043,1307,1341,1377,634,1396,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,145,955,938,1251,1264,1495,588,1751,0.0,False
selenium_create_issue:fill_and_submit_issue_form,145,1529,1523,1852,1912,2125,1102,2362,0.0,False
selenium_create_issue,145,2545,2573,3115,3211,3313,1746,3724,0.0,False
selenium_edit_issue:open_edit_issue_form,145,442,424,489,498,583,378,1363,0.0,False
selenium_edit_issue:save_edit_issue_form,145,473,464,515,532,576,431,639,0.0,False
selenium_edit_issue,145,2062,2033,2318,2376,2436,1680,2761,0.0,False
selenium_save_comment:open_comment_form,145,230,223,245,254,364,207,387,0.0,False
selenium_save_comment:submit_form,145,787,754,833,886,973,661,3765,0.0,False
selenium_save_comment,145,1969,1953,2243,2263,2464,1502,4633,0.0,False
selenium_search_jql,145,1310,1263,1752,1883,2001,894,2697,0.0,False
selenium_view_scrum_board_backlog,145,1302,1244,1650,1665,1707,786,2874,0.0,False
selenium_view_scrum_board,145,1148,1133,1441,1466,1513,763,3120,0.0,False
selenium_view_kanban_board,145,1237,1272,1480,1519,1637,784,1911,0.0,False
selenium_view_dashboard,145,256,251,290,302,354,220,373,0.0,False
selenium_view_issue,145,469,464,530,539,573,390,590,0.0,False
selenium_log_out,145,402,397,442,460,487,345,581,0.0,False
