Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,184,161,274,354,497,105,692,0.0,False
jmeter_view_dashboard,1432,586,560,716,785,1015,383,1759,0.0,False
jmeter_view_blog,2079,532,487,790,907,1121,192,5029,0.0,False
jmeter_view_page:open_page,5609,322,280,471,618,907,153,6473,0.0,False
jmeter_create_and_edit_page:create_page_editor,1278,118,105,169,194,262,68,1119,0.0,False
jmeter_create_and_edit_page:create_page,1278,290,267,395,437,535,177,3468,0.0,False
jmeter_create_and_edit_page:open_editor,1278,18,15,23,28,42,10,760,0.0,False
jmeter_create_and_edit_page:edit_page,1278,296,275,381,424,566,203,1344,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1278,284,253,384,446,574,200,1477,0.0,False
jmeter_search_cql:recently_viewed,1589,20,17,29,38,98,6,379,0.0,False
jmeter_search_cql:search_results,1588,519,492,646,706,885,256,1460,0.0,False
jmeter_create_blog:blog_editor,637,139,128,188,219,284,86,365,0.0,False
jmeter_create_blog:feel_and_publish,637,278,257,368,417,509,177,660,0.0,False
jmeter_comment_page,1102,51,45,73,90,174,27,244,0.0,False
jmeter_view_attachment,786,180,164,266,304,392,97,665,0.0,False
jmeter_like_page,467,36,33,47,58,110,23,152,0.0,False
jmeter_upload_attachment,935,480,426,764,859,1053,207,1292,0.0,False
selenium_login:open_login_page,150,93,86,108,120,166,71,402,0.0,False
selenium_login:login_and_view_dashboard,150,190,178,232,257,355,145,495,0.0,False
selenium_view_blog,150,691,582,946,1076,1825,308,6507,0.0,False
selenium_view_dashboard,150,159,146,210,229,345,119,403,0.0,False
selenium_view_page,150,390,329,584,664,939,227,1629,0.0,False
selenium_view_page_from_cache,150,323,294,419,495,605,211,1498,0.0,False
selenium_create_page:open_create_page_editor,150,364,337,402,449,559,254,3473,0.0,False
selenium_create_page:save_created_page,150,204,188,258,294,364,155,698,0.0,False
selenium_edit_page_by_url:open_create_page_editor,150,363,321,512,571,936,217,1794,0.0,False
selenium_edit_page_by_url:save_edited_page,150,360,332,472,535,744,229,1336,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,150,301,288,386,416,461,199,586,0.0,False
selenium_quick_edit_page_click:save_edited_page,150,315,296,407,452,547,211,599,0.0,False
selenium_create_comment:write_comment,150,840,860,1025,1084,1298,569,1668,0.0,False
selenium_create_comment:save_comment,150,576,575,582,583,599,569,605,0.0,False
selenium_create_comment,150,1852,1838,2082,2160,2542,1522,2873,0.0,False
selenium_log_out,150,148,139,180,189,237,122,297,0.0,False
